user_id,persona,age,fitness_routine,signup_date,total_sessions_30d,total_active_days_30d,avg_session_duration_min,total_duration_min,max_streak_30d,workouts_logged,social_actions,milestones_hit,milestone_details,churned_30d,retained_long_term
27,casual_user,63,yoga,2024-06-24,5,5,11.36,56.79,2,1,3,0,[],0,0
28,consistent_user,61,cardio,2024-05-13,11,10,25.08,275.93,2,8,8,1,"[{""day"": 27, ""milestone"": ""10th_session""}]",0,1
29,at_risk_user,33,rehabilitation,2024-06-29,2,1,5.34,10.68,1,0,0,0,[],1,0
30,casual_user,53,cardio,2024-05-30,12,11,9.89,118.66,3,3,10,2,"[{""day"": 24, ""milestone"": ""10th_session""}, {""day"": 25, ""milestone"": ""3_day_streak""}]",0,0
31,at_risk_user,60,strength,2024-01-20,1,1,5.03,5.03,1,1,1,0,[],1,0
32,at_risk_user,48,yoga,2024-06-26,1,1,3.08,3.08,1,1,0,0,[],1,0
33,casual_user,24,cardio,2024-04-02,4,4,10.72,42.89,1,1,3,0,[],1,0
34,at_risk_user,30,hiit,2024-06-03,1,1,2.68,2.68,1,0,0,0,[],1,0
35,casual_user,36,hiit,2024-01-07,10,9,9.35,93.47,2,3,4,1,"[{""day"": 30, ""milestone"": ""10th_session""}]",0,0
36,consistent_user,38,cardio,2024-05-17,11,11,22.4,246.37,2,3,7,1,"[{""day"": 29, ""milestone"": ""10th_session""}]",0,1
37,casual_user,20,rehabilitation,2024-04-03,4,3,9.25,37.01,1,2,1,0,[],1,0
38,power_user,23,hiit,2024-04-25,25,22,34.64,865.93,6,21,25,4,"[{""day"": 4, ""milestone"": ""3_day_streak""}, {""day"": 11, ""milestone"": ""3_day_streak""}, {""day"": 11, ""milestone"": ""10th_session""}, {""day"": 22, ""milestone"": ""3_day_streak""}]",0,1
39,consistent_user,20,mixed,2024-02-08,17,13,20.32,345.48,6,12,13,2,"[{""day"": 22, ""milestone"": ""10th_session""}, {""day"": 27, ""milestone"": ""3_day_streak""}]",0,1
40,power_user,63,cardio,2024-03-24,16,14,35.61,569.73,3,14,16,4,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 13, ""milestone"": ""3_day_streak""}, {""day"": 21, ""milestone"": ""10th_session""}, {""day"": 30, ""milestone"": ""3_day_streak""}]",0,1
41,casual_user,39,yoga,2024-04-11,2,2,10.99,21.98,1,1,2,0,[],1,0
42,consistent_user,64,hiit,2024-01-13,15,10,21.04,315.53,2,8,7,1,"[{""day"": 22, ""milestone"": ""10th_session""}]",0,1
43,consistent_user,20,yoga,2024-04-04,12,11,22.99,275.85,3,9,8,2,"[{""day"": 12, ""milestone"": ""3_day_streak""}, {""day"": 23, ""milestone"": ""10th_session""}]",0,1
44,power_user,39,rehabilitation,2024-04-12,18,16,34.65,623.75,4,12,17,2,"[{""day"": 15, ""milestone"": ""10th_session""}, {""day"": 24, ""milestone"": ""3_day_streak""}]",0,1
45,casual_user,44,strength,2024-04-07,6,6,7.85,47.09,2,2,4,0,[],0,0
46,casual_user,18,yoga,2024-02-21,6,6,9.82,58.92,1,2,4,0,[],0,0
47,consistent_user,19,mixed,2024-02-03,15,13,21.22,318.26,4,9,9,2,"[{""day"": 19, ""milestone"": ""10th_session""}, {""day"": 24, ""milestone"": ""3_day_streak""}]",0,1
48,consistent_user,42,rehabilitation,2024-04-26,18,15,21.06,379.03,4,10,16,4,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 11, ""milestone"": ""3_day_streak""}, {""day"": 12, ""milestone"": ""10th_session""}, {""day"": 30, ""milestone"": ""3_day_streak""}]",0,1
49,at_risk_user,55,strength,2024-06-11,2,2,6.71,13.42,1,0,0,0,[],1,0
50,casual_user,31,mixed,2024-06-25,2,2,13.25,26.5,1,0,1,0,[],1,0
51,at_risk_user,18,yoga,2024-05-29,2,2,5.09,10.18,1,0,1,0,[],1,0
52,at_risk_user,65,hiit,2024-05-17,0,0,0.0,0.0,0,0,0,0,[],1,0
53,casual_user,23,yoga,2024-05-17,3,3,12.07,36.22,2,0,2,0,[],1,0
54,consistent_user,32,rehabilitation,2024-03-21,13,9,22.07,286.97,2,3,12,0,[],0,1
55,at_risk_user,20,rehabilitation,2024-04-26,4,4,4.2,16.79,2,0,2,0,[],1,0
56,casual_user,39,hiit,2024-02-12,9,9,9.95,89.53,3,2,8,1,"[{""day"": 29, ""milestone"": ""3_day_streak""}]",0,0
57,casual_user,18,mixed,2024-01-02,5,5,9.32,46.58,1,0,2,0,[],0,0
58,power_user,32,hiit,2024-06-17,17,15,31.76,539.87,3,10,15,3,"[{""day"": 9, ""milestone"": ""3_day_streak""}, {""day"": 18, ""milestone"": ""10th_session""}, {""day"": 20, ""milestone"": ""3_day_streak""}]",0,1
59,at_risk_user,49,cardio,2024-05-27,5,5,4.85,24.23,1,0,3,0,[],0,0
60,casual_user,54,rehabilitation,2024-02-16,1,1,6.96,6.96,1,0,0,0,[],1,0
61,power_user,61,mixed,2024-04-15,15,12,35.22,528.27,3,8,13,2,"[{""day"": 14, ""milestone"": ""3_day_streak""}, {""day"": 22, ""milestone"": ""10th_session""}]",0,1
62,consistent_user,33,cardio,2024-05-23,11,10,23.47,258.13,2,7,8,1,"[{""day"": 25, ""milestone"": ""10th_session""}]",0,1
63,consistent_user,37,yoga,2024-05-01,7,7,21.28,148.99,2,3,7,0,[],1,0
64,consistent_user,44,rehabilitation,2024-06-05,13,11,24.12,313.51,4,5,8,1,"[{""day"": 23, ""milestone"": ""3_day_streak""}]",0,1
65,at_risk_user,44,rehabilitation,2024-03-24,3,3,7.53,22.6,2,1,2,0,[],1,0
66,casual_user,32,cardio,2024-03-24,5,4,10.46,52.28,2,0,2,0,[],1,0
67,power_user,32,cardio,2024-04-22,16,16,33.95,543.19,7,12,16,4,"[{""day"": 6, ""milestone"": ""3_day_streak""}, {""day"": 12, ""milestone"": ""3_day_streak""}, {""day"": 14, ""milestone"": ""10th_session""}, {""day"": 16, ""milestone"": ""7_day_streak""}]",0,1
68,casual_user,51,rehabilitation,2024-05-26,8,7,9.89,79.09,2,0,3,0,[],0,0
69,casual_user,43,hiit,2024-06-27,2,2,8.28,16.56,1,1,0,0,[],1,0
70,casual_user,18,mixed,2024-05-07,6,6,9.46,56.77,2,3,3,0,[],0,0
71,consistent_user,36,mixed,2024-02-15,14,12,22.13,309.82,3,6,12,2,"[{""day"": 22, ""milestone"": ""10th_session""}, {""day"": 30, ""milestone"": ""3_day_streak""}]",0,1
72,at_risk_user,47,hiit,2024-05-17,2,2,5.03,10.06,1,0,0,0,[],0,0
73,casual_user,29,strength,2024-02-25,3,3,11.18,33.55,2,1,1,0,[],1,0
74,consistent_user,18,mixed,2024-02-10,14,11,21.42,299.89,2,2,11,1,"[{""day"": 17, ""milestone"": ""10th_session""}]",0,1
75,consistent_user,33,mixed,2024-04-15,6,6,23.38,140.28,2,2,4,0,[],1,0
76,consistent_user,31,rehabilitation,2024-04-07,6,6,21.9,131.39,2,1,5,0,[],1,0
77,casual_user,55,cardio,2024-01-16,12,10,9.9,118.86,3,4,6,1,"[{""day"": 12, ""milestone"": ""3_day_streak""}]",0,0
78,casual_user,45,strength,2024-02-07,4,4,12.24,48.96,1,2,0,0,[],1,0
79,casual_user,34,yoga,2024-01-29,6,6,8.53,51.2,1,2,2,0,[],0,0
80,power_user,64,yoga,2024-01-19,12,11,32.45,389.39,4,9,11,2,"[{""day"": 5, ""milestone"": ""3_day_streak""}, {""day"": 20, ""milestone"": ""10th_session""}]",0,1
81,casual_user,55,cardio,2024-02-24,6,6,11.38,68.25,2,3,5,0,[],1,0
82,casual_user,36,cardio,2024-01-14,1,1,12.47,12.47,1,0,1,0,[],1,0
83,casual_user,42,yoga,2024-06-05,7,6,10.78,75.44,2,1,4,0,[],1,0
84,at_risk_user,19,hiit,2024-06-14,3,2,3.62,10.86,1,0,0,0,[],1,0
85,power_user,43,cardio,2024-04-27,22,17,34.72,763.92,5,17,21,2,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 7, ""milestone"": ""3_day_streak""}]",0,1
86,consistent_user,37,rehabilitation,2024-01-01,13,10,22.4,291.17,2,3,7,1,"[{""day"": 27, ""milestone"": ""10th_session""}]",0,1
87,casual_user,51,mixed,2024-05-23,7,7,10.01,70.04,2,3,4,0,[],0,0
88,casual_user,48,strength,2024-05-11,7,7,8.84,61.9,2,0,3,0,[],0,0
89,power_user,64,strength,2024-05-17,17,15,34.05,578.83,3,13,17,3,"[{""day"": 14, ""milestone"": ""3_day_streak""}, {""day"": 18, ""milestone"": ""10th_session""}, {""day"": 20, ""milestone"": ""3_day_streak""}]",0,1
90,casual_user,33,cardio,2024-01-15,5,5,10.75,53.76,2,2,2,0,[],0,0
91,consistent_user,49,mixed,2024-06-21,19,16,20.98,398.59,4,8,13,2,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 15, ""milestone"": ""10th_session""}]",0,1
92,casual_user,65,rehabilitation,2024-05-29,5,4,9.99,49.93,2,1,3,0,[],1,0
93,casual_user,39,rehabilitation,2024-04-30,2,2,8.93,17.86,1,0,1,0,[],1,0
94,consistent_user,42,mixed,2024-04-04,13,10,22.16,288.05,5,8,8,2,"[{""day"": 26, ""milestone"": ""10th_session""}, {""day"": 27, ""milestone"": ""3_day_streak""}]",0,1
95,consistent_user,43,rehabilitation,2024-06-07,13,9,21.84,283.95,3,5,9,2,"[{""day"": 18, ""milestone"": ""10th_session""}, {""day"": 19, ""milestone"": ""3_day_streak""}]",0,1
96,consistent_user,49,rehabilitation,2024-01-20,3,3,24.07,72.2,1,1,2,0,[],1,0
97,casual_user,40,rehabilitation,2024-06-24,5,3,8.54,42.71,1,0,4,0,[],1,0
98,casual_user,43,strength,2024-02-15,4,4,9.35,37.38,1,1,3,0,[],1,0
99,at_risk_user,65,rehabilitation,2024-02-12,0,0,0.0,0.0,0,0,0,0,[],1,0
100,casual_user,36,rehabilitation,2024-02-11,9,7,11.6,104.37,2,4,5,0,[],0,0
101,casual_user,25,strength,2024-04-22,6,6,12.18,73.1,1,1,5,0,[],0,0
102,consistent_user,35,yoga,2024-05-09,9,8,22.56,203.04,2,6,7,0,[],0,1
103,at_risk_user,36,cardio,2024-05-13,2,2,6.32,12.64,1,1,1,0,[],1,0
104,casual_user,49,rehabilitation,2024-02-06,8,8,10.24,81.94,3,4,5,1,"[{""day"": 14, ""milestone"": ""3_day_streak""}]",0,0
105,casual_user,39,hiit,2024-05-24,5,5,9.71,48.56,1,2,2,0,[],0,0
106,casual_user,21,mixed,2024-06-07,4,4,10.22,40.9,1,2,2,0,[],0,0
107,at_risk_user,38,hiit,2024-01-07,1,1,3.84,3.84,1,0,0,0,[],1,0
108,at_risk_user,33,mixed,2024-05-18,4,4,4.47,17.9,2,1,1,0,[],0,0
109,consistent_user,62,cardio,2024-06-02,17,14,22.49,382.39,3,12,15,3,"[{""day"": 15, ""milestone"": ""3_day_streak""}, {""day"": 15, ""milestone"": ""10th_session""}, {""day"": 26, ""milestone"": ""3_day_streak""}]",0,1
110,consistent_user,37,strength,2024-02-20,12,11,21.13,253.62,2,8,10,0,[],0,1
111,consistent_user,18,mixed,2024-03-28,16,13,22.95,367.21,5,8,16,2,"[{""day"": 7, ""milestone"": ""3_day_streak""}, {""day"": 16, ""milestone"": ""10th_session""}]",0,1
112,consistent_user,27,yoga,2024-05-17,15,13,20.93,313.98,3,6,12,2,"[{""day"": 5, ""milestone"": ""3_day_streak""}, {""day"": 11, ""milestone"": ""3_day_streak""}]",0,1
113,casual_user,51,mixed,2024-02-23,9,8,12.45,112.08,2,3,4,0,[],0,0
114,consistent_user,46,rehabilitation,2024-01-28,15,11,21.81,327.12,3,6,11,2,"[{""day"": 9, ""milestone"": ""3_day_streak""}, {""day"": 17, ""milestone"": ""10th_session""}]",0,1
115,casual_user,38,hiit,2024-01-27,8,7,10.09,80.7,2,2,4,0,[],0,0
116,consistent_user,29,cardio,2024-02-09,11,8,21.31,234.43,2,7,7,1,"[{""day"": 29, ""milestone"": ""10th_session""}]",0,1
117,casual_user,24,rehabilitation,2024-06-02,4,4,10.11,40.46,2,2,1,0,[],0,0
118,casual_user,25,yoga,2024-06-06,4,4,10.84,43.35,1,2,2,0,[],1,0
119,casual_user,31,cardio,2024-02-14,10,9,10.43,104.3,2,3,6,1,"[{""day"": 30, ""milestone"": ""10th_session""}]",0,0
120,casual_user,44,hiit,2024-04-05,12,10,10.33,123.9,3,2,4,2,"[{""day"": 13, ""milestone"": ""3_day_streak""}, {""day"": 25, ""milestone"": ""10th_session""}]",0,0
121,at_risk_user,35,rehabilitation,2024-03-29,2,2,3.13,6.26,1,0,0,0,[],1,0
122,consistent_user,39,yoga,2024-03-27,12,11,21.05,252.59,3,5,11,2,"[{""day"": 23, ""milestone"": ""3_day_streak""}, {""day"": 26, ""milestone"": ""10th_session""}]",0,1
123,casual_user,49,strength,2024-05-16,10,9,9.98,99.76,2,1,6,1,"[{""day"": 29, ""milestone"": ""10th_session""}]",0,0
124,casual_user,62,strength,2024-02-07,14,11,10.15,142.07,4,6,8,1,"[{""day"": 4, ""milestone"": ""3_day_streak""}]",0,0
125,consistent_user,21,strength,2024-05-01,10,9,22.88,228.83,3,3,8,2,"[{""day"": 8, ""milestone"": ""3_day_streak""}, {""day"": 29, ""milestone"": ""10th_session""}]",0,1
126,at_risk_user,25,strength,2024-04-24,1,1,7.88,7.88,1,1,0,0,[],1,0
127,consistent_user,56,cardio,2024-04-21,3,3,25.04,75.13,2,0,1,0,[],1,0
128,casual_user,44,rehabilitation,2024-03-04,4,4,13.97,55.88,1,1,1,0,[],0,0
129,at_risk_user,18,hiit,2024-05-21,3,3,5.12,15.35,1,0,1,0,[],1,0
130,power_user,50,cardio,2024-02-20,17,16,36.34,617.7,5,13,17,4,"[{""day"": 8, ""milestone"": ""3_day_streak""}, {""day"": 21, ""milestone"": ""3_day_streak""}, {""day"": 21, ""milestone"": ""10th_session""}, {""day"": 28, ""milestone"": ""3_day_streak""}]",0,1
131,power_user,52,mixed,2024-01-26,17,13,34.25,582.32,2,15,16,1,"[{""day"": 18, ""milestone"": ""10th_session""}]",0,1
132,casual_user,18,strength,2024-06-09,9,8,9.0,81.04,3,2,6,1,"[{""day"": 4, ""milestone"": ""3_day_streak""}]",0,0
133,at_risk_user,56,cardio,2024-01-22,2,2,5.04,10.09,1,0,1,0,[],1,0
134,consistent_user,26,yoga,2024-03-30,8,7,20.82,166.57,2,6,6,0,[],0,1
135,casual_user,47,mixed,2024-04-18,11,9,9.8,107.81,3,2,9,1,"[{""day"": 11, ""milestone"": ""3_day_streak""}]",0,0
136,casual_user,58,strength,2024-02-18,2,2,9.54,19.07,1,1,0,0,[],1,0
137,casual_user,45,strength,2024-04-02,9,9,10.78,97.06,2,2,3,0,[],0,0
138,casual_user,53,strength,2024-03-03,4,4,11.13,44.51,1,0,2,0,[],1,0
139,casual_user,23,cardio,2024-03-05,2,2,7.85,15.69,1,0,2,0,[],1,0
140,casual_user,58,mixed,2024-02-02,3,2,7.07,21.21,1,0,1,0,[],1,0
141,casual_user,57,mixed,2024-05-07,1,1,12.82,12.82,1,1,1,0,[],1,0
142,casual_user,43,cardio,2024-03-02,9,8,8.75,78.72,1,4,0,0,[],0,0
143,at_risk_user,37,cardio,2024-06-16,0,0,0.0,0.0,0,0,0,0,[],1,0
144,casual_user,27,cardio,2024-05-12,4,4,10.44,41.76,1,1,2,0,[],0,0
145,consistent_user,61,rehabilitation,2024-03-05,13,11,21.84,283.95,2,6,11,1,"[{""day"": 21, ""milestone"": ""10th_session""}]",0,1
146,at_risk_user,20,yoga,2024-05-16,0,0,0.0,0.0,0,0,0,0,[],1,0
147,at_risk_user,44,rehabilitation,2024-05-29,0,0,0.0,0.0,0,0,0,0,[],1,0
148,power_user,47,cardio,2024-03-02,14,12,33.14,464.0,3,14,12,2,"[{""day"": 7, ""milestone"": ""3_day_streak""}, {""day"": 19, ""milestone"": ""10th_session""}]",0,1
149,consistent_user,42,rehabilitation,2024-01-23,5,5,21.58,107.9,2,2,3,0,[],1,0
150,casual_user,45,hiit,2024-06-22,9,9,9.35,84.18,2,1,6,0,[],0,0
151,power_user,60,strength,2024-04-10,15,14,34.17,512.62,5,11,15,3,"[{""day"": 8, ""milestone"": ""3_day_streak""}, {""day"": 23, ""milestone"": ""10th_session""}, {""day"": 24, ""milestone"": ""3_day_streak""}]",0,1
152,consistent_user,41,mixed,2024-01-19,14,13,23.48,328.75,3,5,8,2,"[{""day"": 21, ""milestone"": ""10th_session""}, {""day"": 23, ""milestone"": ""3_day_streak""}]",0,1
153,at_risk_user,21,cardio,2024-06-18,3,3,6.03,18.08,1,0,1,0,[],1,0
154,casual_user,33,yoga,2024-03-30,3,3,8.55,25.65,1,0,2,0,[],1,0
155,at_risk_user,42,hiit,2024-03-12,2,2,4.91,9.81,1,1,1,0,[],1,0
156,casual_user,53,cardio,2024-04-01,4,3,7.03,28.12,1,1,4,0,[],1,0
157,casual_user,39,hiit,2024-06-04,5,5,11.36,56.78,1,2,1,0,[],0,0
158,casual_user,54,rehabilitation,2024-02-27,7,6,11.19,78.34,3,2,7,1,"[{""day"": 9, ""milestone"": ""3_day_streak""}]",0,0
159,at_risk_user,33,hiit,2024-02-02,2,2,5.46,10.91,1,0,0,0,[],1,0
160,casual_user,35,strength,2024-05-10,4,3,7.36,29.45,1,1,3,0,[],1,0
161,casual_user,25,hiit,2024-01-29,5,5,12.94,64.72,2,0,3,0,[],0,0
162,consistent_user,53,rehabilitation,2024-05-13,16,14,22.2,355.24,4,10,12,2,"[{""day"": 22, ""milestone"": ""10th_session""}, {""day"": 27, ""milestone"": ""3_day_streak""}]",0,1
163,at_risk_user,53,strength,2024-03-26,0,0,0.0,0.0,0,0,0,0,[],1,0
164,at_risk_user,54,hiit,2024-03-08,0,0,0.0,0.0,0,0,0,0,[],1,0
165,at_risk_user,33,yoga,2024-03-21,4,4,6.22,24.89,1,0,1,0,[],1,0
166,consistent_user,53,cardio,2024-01-18,10,10,22.52,225.23,3,4,7,2,"[{""day"": 4, ""milestone"": ""3_day_streak""}, {""day"": 29, ""milestone"": ""10th_session""}]",0,1
167,casual_user,49,rehabilitation,2024-04-21,9,7,11.53,103.8,2,1,3,0,[],0,0
168,casual_user,43,strength,2024-03-11,15,11,10.26,153.83,3,10,7,2,"[{""day"": 25, ""milestone"": ""10th_session""}, {""day"": 27, ""milestone"": ""3_day_streak""}]",0,0
169,consistent_user,54,rehabilitation,2024-01-31,5,5,21.55,107.77,2,2,3,0,[],1,0
170,casual_user,41,mixed,2024-04-29,4,3,11.19,44.76,1,1,1,0,[],1,0
171,at_risk_user,37,cardio,2024-01-14,2,2,3.75,7.5,1,0,1,0,[],0,0
172,casual_user,24,hiit,2024-04-28,5,5,10.45,52.25,1,2,2,0,[],1,0
173,casual_user,60,hiit,2024-01-03,3,3,7.92,23.75,2,2,2,0,[],1,0
174,casual_user,43,cardio,2024-01-10,4,3,8.77,35.09,1,2,4,0,[],1,0
175,consistent_user,18,hiit,2024-06-22,20,15,22.18,443.58,5,6,14,3,"[{""day"": 10, ""milestone"": ""3_day_streak""}, {""day"": 11, ""milestone"": ""10th_session""}, {""day"": 25, ""milestone"": ""3_day_streak""}]",0,1
176,casual_user,64,hiit,2024-01-21,10,8,10.47,104.72,3,1,9,2,"[{""day"": 22, ""milestone"": ""3_day_streak""}, {""day"": 26, ""milestone"": ""10th_session""}]",0,0
177,power_user,56,rehabilitation,2024-05-17,21,17,35.22,739.53,5,16,20,3,"[{""day"": 4, ""milestone"": ""3_day_streak""}, {""day"": 12, ""milestone"": ""3_day_streak""}, {""day"": 19, ""milestone"": ""3_day_streak""}]",0,1
178,casual_user,58,hiit,2024-05-23,1,1,9.71,9.71,1,0,0,0,[],1,0
179,at_risk_user,48,rehabilitation,2024-03-24,2,2,3.62,7.25,1,1,1,0,[],1,0
180,power_user,26,rehabilitation,2024-03-13,19,15,36.89,700.97,4,15,19,5,"[{""day"": 7, ""milestone"": ""3_day_streak""}, {""day"": 16, ""milestone"": ""3_day_streak""}, {""day"": 16, ""milestone"": ""10th_session""}, {""day"": 24, ""milestone"": ""3_day_streak""}, {""day"": 28, ""milestone"": ""3_day_streak""}]",0,1
181,casual_user,42,hiit,2024-01-22,2,2,6.17,12.33,1,1,0,0,[],1,0
182,power_user,42,mixed,2024-04-14,14,11,32.1,449.34,2,9,14,0,[],0,1
183,casual_user,27,mixed,2024-03-31,6,6,10.79,64.74,2,1,4,0,[],0,0
184,casual_user,22,strength,2024-06-05,7,6,10.96,76.69,1,1,6,0,[],0,0
185,casual_user,56,hiit,2024-01-27,5,5,9.49,47.43,1,2,2,0,[],1,0
186,casual_user,63,mixed,2024-04-02,3,3,11.18,33.54,1,0,2,0,[],1,0
187,power_user,64,strength,2024-03-19,20,17,35.23,704.54,5,12,19,3,"[{""day"": 3, ""milestone"": ""3_day_streak""}, {""day"": 10, ""milestone"": ""10th_session""}, {""day"": 26, ""milestone"": ""3_day_streak""}]",0,1
188,casual_user,39,hiit,2024-06-14,7,6,9.28,64.97,2,3,2,0,[],0,0
189,casual_user,52,strength,2024-01-08,11,11,10.71,117.8,3,2,6,2,"[{""day"": 10, ""milestone"": ""3_day_streak""}, {""day"": 28, ""milestone"": ""10th_session""}]",0,0
190,casual_user,37,hiit,2024-05-03,7,5,7.93,55.48,1,4,5,0,[],0,0
191,at_risk_user,63,yoga,2024-02-17,1,1,6.96,6.96,1,0,0,0,[],1,0
192,consistent_user,25,hiit,2024-05-25,7,7,23.45,164.13,2,3,7,0,[],0,1
193,power_user,46,strength,2024-04-22,19,16,35.35,671.71,2,17,18,1,"[{""day"": 17, ""milestone"": ""10th_session""}]",0,1
194,casual_user,26,hiit,2024-01-25,8,6,11.19,89.48,2,2,1,0,[],0,0
195,power_user,55,hiit,2024-05-06,16,12,33.4,534.4,3,14,16,1,"[{""day"": 10, ""milestone"": ""3_day_streak""}]",0,1
196,casual_user,45,strength,2024-06-07,3,3,11.42,34.25,2,1,1,0,[],0,0
197,consistent_user,65,cardio,2024-05-05,12,10,20.6,247.17,2,2,8,1,"[{""day"": 24, ""milestone"": ""10th_session""}]",0,1
198,power_user,41,hiit,2024-01-17,23,19,34.69,797.8,4,14,23,4,"[{""day"": 13, ""milestone"": ""3_day_streak""}, {""day"": 13, ""milestone"": ""10th_session""}, {""day"": 19, ""milestone"": ""3_day_streak""}, {""day"": 27, ""milestone"": ""3_day_streak""}]",0,1
199,consistent_user,41,mixed,2024-03-13,15,13,21.96,329.45,3,8,13,2,"[{""day"": 16, ""milestone"": ""3_day_streak""}, {""day"": 20, ""milestone"": ""10th_session""}]",0,1
200,casual_user,48,strength,2024-01-06,8,7,11.31,90.48,2,4,5,0,[],0,0
201,at_risk_user,52,cardio,2024-04-26,1,1,4.7,4.7,1,0,0,0,[],1,0
202,at_risk_user,30,rehabilitation,2024-06-26,0,0,0.0,0.0,0,0,0,0,[],1,0
203,casual_user,23,hiit,2024-05-04,5,4,8.33,41.64,2,2,1,0,[],1,0
204,consistent_user,39,rehabilitation,2024-03-18,10,9,20.83,208.26,2,6,7,1,"[{""day"": 29, ""milestone"": ""10th_session""}]",0,1
205,consistent_user,33,hiit,2024-02-05,9,8,19.87,178.85,2,5,7,0,[],0,1
206,at_risk_user,39,yoga,2024-06-15,1,1,5.07,5.07,1,0,0,0,[],0,0
207,consistent_user,45,rehabilitation,2024-03-12,13,10,21.36,277.64,2,5,9,1,"[{""day"": 23, ""milestone"": ""10th_session""}]",0,1
208,at_risk_user,40,cardio,2024-03-09,1,1,4.76,4.76,1,0,1,0,[],1,0
209,consistent_user,38,yoga,2024-04-13,14,13,21.49,300.85,3,6,12,3,"[{""day"": 8, ""milestone"": ""3_day_streak""}, {""day"": 21, ""milestone"": ""10th_session""}, {""day"": 30, ""milestone"": ""3_day_streak""}]",0,1
210,casual_user,26,cardio,2024-01-13,6,6,8.77,52.62,2,1,5,0,[],0,0
211,at_risk_user,37,strength,2024-06-02,3,3,5.67,17.01,1,1,1,0,[],1,0
