user_id,event_date,day_of_onboarding,session_duration_min,features_used,n_features_used,workout_logged,goal_set,streak_day,social_action,coach_interaction
1,2024-07-02,21,39.9,"[""community_post"", ""challenge_joined"", ""social_share"", ""progress_photo"", ""coach_messaged"", ""video_watched"", ""plan_customized"", ""goal_set"", ""streak_maintained"", ""workout_logged"", ""milestone_reached""]",11,1,1,1,1,1
1,2024-07-02,21,35.78,"[""community_post"", ""challenge_joined"", ""social_share"", ""progress_photo"", ""coach_messaged"", ""video_watched"", ""plan_customized"", ""goal_set"", ""streak_maintained"", ""workout_logged"", ""milestone_reached""]",11,1,1,1,1,1
1,2024-07-04,23,28.06,"[""plan_customized"", ""coach_messaged"", ""community_post"", ""video_watched"", ""challenge_joined"", ""goal_set"", ""milestone_reached"", ""nutrition_tracked"", ""social_share"", ""workout_logged"", ""streak_maintained"", ""progress_photo""]",12,1,1,1,1,1
1,2024-07-07,26,35.58,"[""video_watched"", ""coach_messaged"", ""plan_customized"", ""goal_set"", ""community_post"", ""social_share"", ""nutrition_tracked"", ""progress_photo""]",8,0,1,1,1,1
1,2024-07-09,28,28.16,"[""workout_logged"", ""video_watched"", ""goal_set"", ""milestone_reached"", ""nutrition_tracked"", ""coach_messaged"", ""challenge_joined"", ""streak_maintained"", ""community_post"", ""plan_customized"", ""progress_photo""]",11,1,1,1,1,1
2,2024-01-02,2,7.48,"[""milestone_reached""]",1,0,0,1,0,0
3,2024-05-24,5,21.57,"[""milestone_reached"", ""social_share"", ""nutrition_tracked"", ""coach_messaged"", ""challenge_joined""]",5,0,0,1,1,1
3,2024-05-25,6,23.31,"[""progress_photo"", ""goal_set"", ""social_share"", ""plan_customized"", ""video_watched"", ""streak_maintained"", ""workout_logged"", ""nutrition_tracked""]",8,1,1,2,1,0
3,2024-05-27,8,16.06,"[""social_share"", ""workout_logged"", ""goal_set"", ""video_watched"", ""community_post"", ""milestone_reached"", ""coach_messaged"", ""streak_maintained""]",8,1,1,1,1,1
3,2024-05-28,9,25.85,"[""nutrition_tracked"", ""video_watched"", ""progress_photo"", ""social_share"", ""streak_maintained""]",5,0,0,2,1,0
3,2024-05-30,11,24.88,"[""plan_customized"", ""progress_photo"", ""social_share"", ""video_watched"", ""coach_messaged"", ""goal_set"", ""workout_logged"", ""challenge_joined""]",8,1,1,1,1,1
3,2024-05-31,12,21.04,"[""coach_messaged"", ""community_post"", ""progress_photo"", ""workout_logged"", ""goal_set"", ""milestone_reached""]",6,1,1,2,1,1
3,2024-06-02,14,21.33,"[""goal_set"", ""social_share"", ""video_watched"", ""plan_customized"", ""progress_photo"", ""community_post""]",6,0,1,1,1,0
3,2024-06-04,16,24.78,"[""progress_photo"", ""social_share"", ""goal_set"", ""community_post"", ""plan_customized"", ""workout_logged""]",6,1,1,1,1,0
3,2024-06-11,23,27.97,"[""workout_logged"", ""goal_set"", ""social_share"", ""streak_maintained"", ""coach_messaged"", ""plan_customized"", ""progress_photo"", ""video_watched""]",8,1,1,1,1,1
3,2024-06-15,27,18.98,"[""streak_maintained"", ""coach_messaged"", ""workout_logged"", ""video_watched""]",4,1,0,1,0,1
3,2024-06-18,30,18.27,"[""nutrition_tracked"", ""coach_messaged"", ""milestone_reached"", ""progress_photo"", ""streak_maintained"", ""goal_set"", ""plan_customized""]",7,0,1,1,0,1
4,2024-01-16,2,9.77,"[""workout_logged"", ""plan_customized""]",2,1,0,1,0,0
4,2024-01-31,17,13.51,"[""workout_logged"", ""milestone_reached"", ""goal_set""]",3,1,1,1,0,0
4,2024-02-07,24,11.75,"[""plan_customized"", ""goal_set""]",2,0,1,1,0,0
4,2024-02-07,24,7.35,"[""plan_customized"", ""goal_set""]",2,0,1,1,0,0
4,2024-02-12,29,10.79,"[""plan_customized"", ""social_share""]",2,0,0,1,1,0
4,2024-02-13,30,9.19,"[""plan_customized"", ""goal_set""]",2,0,1,2,0,0
5,2024-05-29,1,11.72,"[""nutrition_tracked"", ""coach_messaged"", ""streak_maintained""]",3,0,0,1,0,1
5,2024-05-31,3,5.73,"[""goal_set"", ""workout_logged"", ""progress_photo"", ""community_post""]",4,1,1,1,1,0
5,2024-06-03,6,6.58,"[""goal_set"", ""social_share"", ""challenge_joined"", ""nutrition_tracked""]",4,0,1,1,1,0
5,2024-06-03,6,13.34,"[""goal_set"", ""social_share"", ""challenge_joined"", ""nutrition_tracked""]",4,0,1,1,1,0
6,2024-02-09,7,10.46,"[""milestone_reached"", ""workout_logged"", ""goal_set"", ""plan_customized"", ""streak_maintained""]",5,1,1,1,0,0
6,2024-02-14,12,6.27,"[""plan_customized"", ""milestone_reached"", ""streak_maintained"", ""coach_messaged""]",4,0,0,1,0,1
6,2024-02-15,13,11.82,"[""challenge_joined"", ""workout_logged"", ""community_post"", ""social_share""]",4,1,0,2,1,0
6,2024-02-17,15,13.84,"[""challenge_joined"", ""milestone_reached""]",2,0,0,1,0,0
6,2024-02-19,17,13.81,"[""plan_customized"", ""streak_maintained"", ""social_share"", ""video_watched"", ""milestone_reached""]",5,0,0,1,1,0
6,2024-02-20,18,12.82,"[""streak_maintained"", ""challenge_joined""]",2,0,0,2,0,0
6,2024-02-28,26,8.83,"[""video_watched"", ""social_share"", ""nutrition_tracked"", ""streak_maintained"", ""goal_set""]",5,0,1,1,1,0
6,2024-03-01,28,7.0,"[""progress_photo"", ""social_share""]",2,0,0,1,1,0
6,2024-03-03,30,11.6,"[""challenge_joined"", ""nutrition_tracked"", ""social_share"", ""plan_customized"", ""workout_logged""]",5,1,0,1,1,0
6,2024-03-03,30,8.98,"[""challenge_joined"", ""nutrition_tracked"", ""social_share"", ""plan_customized"", ""workout_logged""]",5,1,0,1,1,0
8,2024-06-17,1,44.68,"[""goal_set"", ""social_share"", ""nutrition_tracked"", ""video_watched"", ""milestone_reached"", ""community_post"", ""workout_logged"", ""challenge_joined"", ""coach_messaged""]",9,1,1,1,1,1
8,2024-06-18,2,42.85,"[""goal_set"", ""progress_photo"", ""coach_messaged"", ""social_share"", ""plan_customized"", ""milestone_reached"", ""video_watched"", ""community_post"", ""nutrition_tracked"", ""streak_maintained"", ""workout_logged""]",11,1,1,2,1,1
8,2024-06-19,3,29.98,"[""coach_messaged"", ""social_share"", ""streak_maintained"", ""milestone_reached"", ""progress_photo"", ""workout_logged"", ""nutrition_tracked""]",7,1,0,3,1,1
8,2024-06-20,4,37.25,"[""progress_photo"", ""streak_maintained"", ""community_post"", ""milestone_reached"", ""challenge_joined"", ""coach_messaged"", ""social_share""]",7,0,0,4,1,1
8,2024-06-22,6,37.53,"[""milestone_reached"", ""coach_messaged"", ""community_post"", ""progress_photo"", ""streak_maintained"", ""challenge_joined"", ""social_share"", ""video_watched"", ""plan_customized"", ""workout_logged"", ""goal_set"", ""nutrition_tracked""]",12,1,1,1,1,1
8,2024-06-26,10,27.77,"[""progress_photo"", ""goal_set"", ""nutrition_tracked"", ""social_share"", ""plan_customized"", ""streak_maintained"", ""coach_messaged"", ""community_post"", ""workout_logged""]",9,1,1,1,1,1
8,2024-06-27,11,34.32,"[""coach_messaged"", ""streak_maintained"", ""social_share"", ""goal_set"", ""community_post"", ""plan_customized"", ""video_watched"", ""nutrition_tracked""]",8,0,1,2,1,1
8,2024-06-27,11,26.25,"[""coach_messaged"", ""streak_maintained"", ""social_share"", ""goal_set"", ""community_post"", ""plan_customized"", ""video_watched"", ""nutrition_tracked""]",8,0,1,2,1,1
8,2024-06-29,13,35.76,"[""coach_messaged"", ""plan_customized"", ""workout_logged"", ""community_post"", ""progress_photo"", ""video_watched"", ""streak_maintained"", ""challenge_joined"", ""social_share"", ""goal_set""]",10,1,1,1,1,1
8,2024-07-02,16,39.48,"[""milestone_reached"", ""plan_customized"", ""social_share"", ""progress_photo"", ""video_watched"", ""streak_maintained"", ""community_post"", ""challenge_joined"", ""workout_logged"", ""goal_set"", ""coach_messaged"", ""nutrition_tracked""]",12,1,1,1,1,1
8,2024-07-03,17,33.57,"[""streak_maintained"", ""plan_customized"", ""milestone_reached"", ""workout_logged"", ""coach_messaged"", ""nutrition_tracked"", ""progress_photo"", ""video_watched"", ""challenge_joined"", ""community_post""]",10,1,0,2,1,1
8,2024-07-06,20,30.57,"[""streak_maintained"", ""workout_logged"", ""nutrition_tracked"", ""coach_messaged"", ""challenge_joined"", ""goal_set"", ""social_share"", ""community_post"", ""plan_customized"", ""milestone_reached""]",10,1,1,1,1,1
8,2024-07-08,22,43.99,"[""nutrition_tracked"", ""goal_set"", ""progress_photo"", ""workout_logged"", ""milestone_reached"", ""streak_maintained"", ""video_watched"", ""plan_customized"", ""community_post"", ""social_share""]",10,1,1,1,1,0
8,2024-07-09,23,36.28,"[""workout_logged"", ""plan_customized"", ""streak_maintained"", ""social_share"", ""video_watched"", ""milestone_reached"", ""challenge_joined"", ""community_post""]",8,1,0,2,1,0
8,2024-07-11,25,27.16,"[""progress_photo"", ""nutrition_tracked"", ""challenge_joined"", ""streak_maintained"", ""goal_set"", ""coach_messaged"", ""community_post"", ""milestone_reached""]",8,0,1,1,1,1
8,2024-07-11,25,25.51,"[""progress_photo"", ""nutrition_tracked"", ""challenge_joined"", ""streak_maintained"", ""goal_set"", ""coach_messaged"", ""community_post"", ""milestone_reached""]",8,0,1,1,1,1
8,2024-07-12,26,38.94,"[""plan_customized"", ""video_watched"", ""coach_messaged"", ""community_post"", ""social_share"", ""workout_logged"", ""nutrition_tracked"", ""goal_set"", ""milestone_reached""]",9,1,1,2,1,1
8,2024-07-14,28,35.12,"[""video_watched"", ""plan_customized"", ""goal_set"", ""workout_logged"", ""challenge_joined"", ""nutrition_tracked"", ""social_share"", ""streak_maintained"", ""milestone_reached""]",9,1,1,1,1,0
8,2024-07-16,30,33.71,"[""workout_logged"", ""coach_messaged"", ""progress_photo"", ""goal_set"", ""video_watched"", ""streak_maintained"", ""challenge_joined"", ""social_share"", ""milestone_reached""]",9,1,1,1,1,1
9,2024-06-08,27,3.68,"[""nutrition_tracked"", ""challenge_joined""]",2,0,0,1,0,0
10,2024-01-22,1,16.4,"[""community_post"", ""progress_photo"", ""video_watched"", ""plan_customized"", ""workout_logged""]",5,1,0,1,1,0
10,2024-01-24,3,23.3,"[""coach_messaged"", ""social_share"", ""nutrition_tracked"", ""challenge_joined"", ""progress_photo""]",5,0,0,1,1,1
10,2024-01-27,6,19.6,"[""coach_messaged"", ""milestone_reached"", ""challenge_joined"", ""plan_customized"", ""progress_photo"", ""streak_maintained""]",6,0,0,1,0,1
10,2024-02-02,12,17.87,"[""goal_set"", ""social_share"", ""challenge_joined"", ""community_post"", ""streak_maintained""]",5,0,1,1,1,0
10,2024-02-03,13,19.44,"[""nutrition_tracked"", ""plan_customized"", ""milestone_reached"", ""community_post"", ""goal_set"", ""coach_messaged"", ""progress_photo""]",7,0,1,2,1,1
10,2024-02-05,15,15.68,"[""streak_maintained"", ""nutrition_tracked"", ""workout_logged"", ""milestone_reached"", ""community_post"", ""progress_photo""]",6,1,0,1,1,0
10,2024-02-05,15,15.82,"[""streak_maintained"", ""nutrition_tracked"", ""workout_logged"", ""milestone_reached"", ""community_post"", ""progress_photo""]",6,1,0,1,1,0
10,2024-02-08,18,19.27,"[""community_post"", ""streak_maintained"", ""progress_photo"", ""goal_set"", ""workout_logged"", ""nutrition_tracked""]",6,1,1,1,1,0
10,2024-02-14,24,16.71,"[""progress_photo"", ""challenge_joined"", ""streak_maintained"", ""workout_logged"", ""nutrition_tracked"", ""coach_messaged"", ""social_share""]",7,1,0,1,1,1
10,2024-02-17,27,17.28,"[""coach_messaged"", ""progress_photo"", ""goal_set"", ""workout_logged""]",4,1,1,1,0,1
10,2024-02-19,29,18.39,"[""nutrition_tracked"", ""goal_set"", ""social_share"", ""video_watched"", ""coach_messaged"", ""community_post"", ""progress_photo"", ""challenge_joined""]",8,0,1,1,1,1
10,2024-02-20,30,15.9,"[""coach_messaged"", ""progress_photo"", ""video_watched"", ""nutrition_tracked"", ""community_post"", ""streak_maintained"", ""milestone_reached"", ""challenge_joined""]",8,0,0,2,1,1
12,2024-05-16,5,9.08,"[""video_watched"", ""progress_photo"", ""goal_set"", ""community_post"", ""challenge_joined""]",5,0,1,1,1,0
12,2024-06-02,22,9.12,"[""video_watched"", ""goal_set"", ""streak_maintained"", ""challenge_joined""]",4,0,1,1,0,0
12,2024-06-03,23,9.55,"[""nutrition_tracked"", ""video_watched"", ""coach_messaged"", ""milestone_reached"", ""workout_logged""]",5,1,0,2,0,1
13,2024-03-21,1,15.81,"[""video_watched"", ""milestone_reached"", ""progress_photo"", ""coach_messaged""]",4,0,0,1,0,1
13,2024-03-22,2,16.97,"[""challenge_joined"", ""plan_customized"", ""progress_photo"", ""video_watched"", ""workout_logged"", ""goal_set"", ""streak_maintained"", ""nutrition_tracked""]",8,1,1,2,0,0
13,2024-03-24,4,17.38,"[""progress_photo"", ""community_post"", ""goal_set"", ""workout_logged"", ""social_share"", ""challenge_joined""]",6,1,1,1,1,0
13,2024-03-25,5,29.21,"[""workout_logged"", ""milestone_reached"", ""coach_messaged"", ""goal_set"", ""social_share"", ""plan_customized"", ""community_post"", ""progress_photo""]",8,1,1,2,1,1
13,2024-04-01,12,27.52,"[""progress_photo"", ""nutrition_tracked"", ""milestone_reached"", ""video_watched"", ""coach_messaged""]",5,0,0,1,0,1
13,2024-04-02,13,22.62,"[""social_share"", ""progress_photo"", ""milestone_reached"", ""streak_maintained"", ""coach_messaged"", ""goal_set"", ""nutrition_tracked""]",7,0,1,2,1,1
13,2024-04-03,14,27.31,"[""goal_set"", ""nutrition_tracked"", ""coach_messaged"", ""challenge_joined"", ""video_watched""]",5,0,1,3,0,1
13,2024-04-04,15,23.08,"[""community_post"", ""nutrition_tracked"", ""plan_customized"", ""progress_photo"", ""streak_maintained"", ""social_share""]",6,0,0,4,1,0
13,2024-04-04,15,20.18,"[""community_post"", ""nutrition_tracked"", ""plan_customized"", ""progress_photo"", ""streak_maintained"", ""social_share""]",6,0,0,4,1,0
13,2024-04-06,17,20.74,"[""milestone_reached"", ""coach_messaged"", ""progress_photo"", ""challenge_joined"", ""social_share"", ""community_post"", ""goal_set"", ""nutrition_tracked""]",8,0,1,1,1,1
13,2024-04-08,19,29.71,"[""workout_logged"", ""challenge_joined"", ""progress_photo"", ""coach_messaged"", ""milestone_reached"", ""video_watched"", ""plan_customized""]",7,1,0,1,0,1
13,2024-04-08,19,22.43,"[""workout_logged"", ""challenge_joined"", ""progress_photo"", ""coach_messaged"", ""milestone_reached"", ""video_watched"", ""plan_customized""]",7,1,0,1,0,1
13,2024-04-17,28,28.05,"[""streak_maintained"", ""milestone_reached"", ""plan_customized"", ""challenge_joined""]",4,0,0,1,0,0
13,2024-04-17,28,28.11,"[""streak_maintained"", ""milestone_reached"", ""plan_customized"", ""challenge_joined""]",4,0,0,1,0,0
13,2024-04-18,29,29.55,"[""goal_set"", ""milestone_reached"", ""progress_photo"", ""workout_logged"", ""streak_maintained"", ""social_share"", ""challenge_joined""]",7,1,1,2,1,0
14,2024-01-23,4,14.54,"[""video_watched"", ""goal_set"", ""challenge_joined"", ""milestone_reached"", ""coach_messaged""]",5,0,1,1,0,1
14,2024-01-24,5,11.31,"[""milestone_reached"", ""workout_logged"", ""plan_customized"", ""goal_set"", ""social_share""]",5,1,1,2,1,0
14,2024-01-27,8,12.6,"[""social_share"", ""goal_set"", ""coach_messaged"", ""video_watched""]",4,0,1,1,1,1
14,2024-01-29,10,11.94,"[""progress_photo"", ""streak_maintained""]",2,0,0,1,0,0
14,2024-02-12,24,12.96,"[""workout_logged"", ""challenge_joined""]",2,1,0,1,0,0
14,2024-02-15,27,7.44,"[""challenge_joined"", ""community_post"", ""coach_messaged"", ""streak_maintained""]",4,0,0,1,1,1
14,2024-02-17,29,5.79,"[""plan_customized"", ""video_watched"", ""streak_maintained"", ""community_post"", ""milestone_reached""]",5,0,0,1,1,0
15,2024-04-07,1,9.6,"[""social_share"", ""progress_photo"", ""nutrition_tracked""]",3,0,0,1,1,0
15,2024-04-07,1,11.67,"[""social_share"", ""progress_photo"", ""nutrition_tracked""]",3,0,0,1,1,0
15,2024-04-08,2,9.42,"[""nutrition_tracked"", ""video_watched"", ""milestone_reached"", ""streak_maintained"", ""goal_set""]",5,0,1,2,0,0
15,2024-04-10,4,9.57,"[""plan_customized"", ""nutrition_tracked"", ""coach_messaged"", ""video_watched""]",4,0,0,1,0,1
15,2024-04-12,6,7.37,"[""social_share"", ""coach_messaged"", ""progress_photo"", ""goal_set""]",4,0,1,1,1,1
15,2024-04-15,9,14.78,"[""plan_customized"", ""nutrition_tracked"", ""video_watched"", ""workout_logged""]",4,1,0,1,0,0
15,2024-04-20,14,13.33,"[""nutrition_tracked"", ""workout_logged"", ""plan_customized"", ""video_watched"", ""progress_photo""]",5,1,0,1,0,0
15,2024-04-21,15,11.37,"[""social_share"", ""plan_customized"", ""challenge_joined"", ""community_post""]",4,0,0,2,1,0
15,2024-04-23,17,14.03,"[""video_watched"", ""community_post"", ""streak_maintained"", ""goal_set""]",4,0,1,1,1,0
16,2024-06-15,2,30.14,"[""streak_maintained"", ""goal_set"", ""nutrition_tracked"", ""challenge_joined"", ""coach_messaged"", ""video_watched"", ""progress_photo"", ""milestone_reached"", ""community_post"", ""social_share"", ""plan_customized"", ""workout_logged""]",12,1,1,1,1,1
16,2024-06-17,4,40.81,"[""nutrition_tracked"", ""challenge_joined"", ""goal_set"", ""progress_photo"", ""plan_customized"", ""milestone_reached"", ""coach_messaged"", ""social_share"", ""streak_maintained"", ""workout_logged""]",10,1,1,1,1,1
16,2024-06-24,11,38.45,"[""nutrition_tracked"", ""milestone_reached"", ""goal_set"", ""progress_photo"", ""challenge_joined"", ""video_watched"", ""coach_messaged""]",7,0,1,1,0,1
16,2024-06-24,11,36.69,"[""nutrition_tracked"", ""milestone_reached"", ""goal_set"", ""progress_photo"", ""challenge_joined"", ""video_watched"", ""coach_messaged""]",7,0,1,1,0,1
16,2024-06-25,12,43.19,"[""challenge_joined"", ""goal_set"", ""social_share"", ""progress_photo"", ""workout_logged"", ""nutrition_tracked"", ""coach_messaged"", ""streak_maintained"", ""video_watched"", ""community_post"", ""milestone_reached"", ""plan_customized""]",12,1,1,2,1,1
16,2024-06-27,14,26.94,"[""video_watched"", ""coach_messaged"", ""goal_set"", ""streak_maintained"", ""workout_logged"", ""progress_photo"", ""milestone_reached"", ""social_share"", ""community_post""]",9,1,1,1,1,1
16,2024-06-30,17,41.67,"[""streak_maintained"", ""coach_messaged"", ""progress_photo"", ""challenge_joined"", ""video_watched"", ""nutrition_tracked"", ""milestone_reached"", ""goal_set"", ""social_share"", ""community_post"", ""workout_logged""]",11,1,1,1,1,1
16,2024-07-01,18,35.89,"[""coach_messaged"", ""nutrition_tracked"", ""workout_logged"", ""challenge_joined"", ""social_share"", ""progress_photo"", ""community_post"", ""goal_set"", ""streak_maintained"", ""plan_customized"", ""video_watched""]",11,1,1,2,1,1
16,2024-07-07,24,40.74,"[""challenge_joined"", ""workout_logged"", ""coach_messaged"", ""nutrition_tracked"", ""social_share"", ""video_watched"", ""progress_photo"", ""plan_customized"", ""goal_set"", ""streak_maintained"", ""milestone_reached"", ""community_post""]",12,1,1,1,1,1
16,2024-07-07,24,29.87,"[""challenge_joined"", ""workout_logged"", ""coach_messaged"", ""nutrition_tracked"", ""social_share"", ""video_watched"", ""progress_photo"", ""plan_customized"", ""goal_set"", ""streak_maintained"", ""milestone_reached"", ""community_post""]",12,1,1,1,1,1
16,2024-07-08,25,31.57,"[""plan_customized"", ""social_share"", ""goal_set"", ""milestone_reached"", ""video_watched"", ""nutrition_tracked"", ""community_post"", ""challenge_joined""]",8,0,1,2,1,0
16,2024-07-08,25,27.95,"[""plan_customized"", ""social_share"", ""goal_set"", ""milestone_reached"", ""video_watched"", ""nutrition_tracked"", ""community_post"", ""challenge_joined""]",8,0,1,2,1,0
16,2024-07-10,27,32.16,"[""workout_logged"", ""nutrition_tracked"", ""streak_maintained"", ""plan_customized"", ""video_watched"", ""coach_messaged"", ""goal_set"", ""community_post"", ""progress_photo"", ""social_share"", ""milestone_reached""]",11,1,1,1,1,1
16,2024-07-11,28,35.52,"[""plan_customized"", ""challenge_joined"", ""workout_logged"", ""streak_maintained"", ""nutrition_tracked"", ""community_post"", ""goal_set"", ""social_share""]",8,1,1,2,1,0
16,2024-07-12,29,37.87,"[""goal_set"", ""progress_photo"", ""video_watched"", ""challenge_joined"", ""community_post"", ""social_share"", ""nutrition_tracked"", ""plan_customized"", ""workout_logged"", ""streak_maintained"", ""milestone_reached"", ""coach_messaged""]",12,1,1,3,1,1
16,2024-07-12,29,25.62,"[""goal_set"", ""progress_photo"", ""video_watched"", ""challenge_joined"", ""community_post"", ""social_share"", ""nutrition_tracked"", ""plan_customized"", ""workout_logged"", ""streak_maintained"", ""milestone_reached"", ""coach_messaged""]",12,1,1,3,1,1
16,2024-07-12,29,44.97,"[""goal_set"", ""progress_photo"", ""video_watched"", ""challenge_joined"", ""community_post"", ""social_share"", ""nutrition_tracked"", ""plan_customized"", ""workout_logged"", ""streak_maintained"", ""milestone_reached"", ""coach_messaged""]",12,1,1,3,1,1
16,2024-07-13,30,27.52,"[""coach_messaged"", ""video_watched"", ""goal_set"", ""progress_photo"", ""milestone_reached"", ""workout_logged"", ""community_post"", ""streak_maintained"", ""plan_customized"", ""challenge_joined""]",10,1,1,4,1,1
17,2024-06-16,9,8.13,"[""challenge_joined"", ""progress_photo"", ""coach_messaged"", ""plan_customized"", ""goal_set""]",5,0,1,1,0,1
17,2024-06-17,10,5.91,"[""challenge_joined"", ""streak_maintained"", ""progress_photo"", ""goal_set""]",4,0,1,2,0,0
17,2024-06-22,15,14.57,"[""milestone_reached"", ""workout_logged"", ""plan_customized""]",3,1,0,1,0,0
19,2024-01-02,1,16.94,"[""challenge_joined"", ""goal_set"", ""workout_logged"", ""progress_photo"", ""coach_messaged"", ""video_watched""]",6,1,1,1,0,1
19,2024-01-04,3,21.54,"[""community_post"", ""social_share"", ""milestone_reached"", ""plan_customized"", ""challenge_joined"", ""workout_logged"", ""video_watched"", ""coach_messaged""]",8,1,0,1,1,1
19,2024-01-05,4,21.27,"[""goal_set"", ""challenge_joined"", ""plan_customized"", ""coach_messaged"", ""milestone_reached"", ""video_watched"", ""progress_photo""]",7,0,1,2,0,1
19,2024-01-08,7,27.02,"[""coach_messaged"", ""workout_logged"", ""challenge_joined"", ""streak_maintained""]",4,1,0,1,0,1
19,2024-01-10,9,21.01,"[""progress_photo"", ""challenge_joined"", ""goal_set"", ""coach_messaged"", ""plan_customized"", ""community_post"", ""social_share"", ""nutrition_tracked""]",8,0,1,1,1,1
19,2024-01-14,13,20.0,"[""coach_messaged"", ""nutrition_tracked"", ""challenge_joined"", ""social_share""]",4,0,0,1,1,1
19,2024-01-20,19,28.59,"[""goal_set"", ""milestone_reached"", ""community_post"", ""video_watched"", ""social_share""]",5,0,1,1,1,0
19,2024-01-23,22,18.84,"[""challenge_joined"", ""video_watched"", ""streak_maintained"", ""social_share"", ""goal_set"", ""progress_photo""]",6,0,1,1,1,0
19,2024-01-23,22,17.6,"[""challenge_joined"", ""video_watched"", ""streak_maintained"", ""social_share"", ""goal_set"", ""progress_photo""]",6,0,1,1,1,0
19,2024-01-24,23,26.32,"[""video_watched"", ""goal_set"", ""streak_maintained"", ""progress_photo"", ""milestone_reached""]",5,0,1,2,0,0
19,2024-01-26,25,22.03,"[""progress_photo"", ""video_watched"", ""plan_customized"", ""challenge_joined"", ""milestone_reached"", ""goal_set"", ""social_share"", ""workout_logged""]",8,1,1,1,1,0
20,2024-06-11,2,27.96,"[""progress_photo"", ""workout_logged"", ""video_watched"", ""challenge_joined"", ""nutrition_tracked"", ""plan_customized"", ""milestone_reached""]",7,1,0,1,0,0
20,2024-06-11,2,27.83,"[""progress_photo"", ""workout_logged"", ""video_watched"", ""challenge_joined"", ""nutrition_tracked"", ""plan_customized"", ""milestone_reached""]",7,1,0,1,0,0
20,2024-06-14,5,29.37,"[""plan_customized"", ""video_watched"", ""social_share"", ""challenge_joined"", ""progress_photo"", ""nutrition_tracked"", ""goal_set""]",7,0,1,1,1,0
20,2024-06-17,8,18.72,"[""milestone_reached"", ""video_watched"", ""streak_maintained"", ""workout_logged""]",4,1,0,1,0,0
20,2024-06-19,10,26.62,"[""milestone_reached"", ""plan_customized"", ""streak_maintained"", ""challenge_joined"", ""community_post"", ""video_watched"", ""social_share"", ""progress_photo""]",8,0,0,1,1,0
20,2024-06-23,14,18.78,"[""milestone_reached"", ""video_watched"", ""coach_messaged"", ""nutrition_tracked""]",4,0,0,1,0,1
20,2024-06-23,14,27.77,"[""milestone_reached"", ""video_watched"", ""coach_messaged"", ""nutrition_tracked""]",4,0,0,1,0,1
21,2024-01-05,1,22.62,"[""social_share"", ""community_post"", ""streak_maintained"", ""plan_customized"", ""goal_set"", ""milestone_reached"", ""workout_logged""]",7,1,1,1,1,0
21,2024-01-07,3,17.43,"[""community_post"", ""milestone_reached"", ""workout_logged"", ""challenge_joined"", ""streak_maintained"", ""nutrition_tracked"", ""social_share"", ""goal_set""]",8,1,1,1,1,0
21,2024-01-08,4,29.54,"[""streak_maintained"", ""progress_photo"", ""workout_logged"", ""coach_messaged"", ""challenge_joined"", ""video_watched"", ""milestone_reached"", ""goal_set""]",8,1,1,2,0,1
